numbers,tripduration,starttime,stoptime,start station name,start station latitude,start station longitude,end station name,end station latitude,end station longitude,usertype,birth year,gender
0,201,2019-01-01 03:09:09.7110,2019-01-01 03:12:30.8790,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.712774200000005,-74.03648570000001,Subscriber,1993,1
1,505,2019-01-01 05:18:00.1060,2019-01-01 05:26:25.9050,Exchange Place,40.7162469,-74.0334588,Washington St,40.7242941,-74.0354826,Subscriber,1972,2
2,756,2019-01-01 10:36:33.3400,2019-01-01 10:49:10.2600,Exchange Place,40.7162469,-74.0334588,Liberty Light Rail,40.711242299999995,-74.0557013,Subscriber,1985,1
3,1575,2019-01-01 12:43:38.6430,2019-01-01 13:09:54.5280,Exchange Place,40.7162469,-74.0334588,Washington St,40.7242941,-74.0354826,Customer,1969,0
4,1566,2019-01-01 12:43:39.6010,2019-01-01 13:09:46.5100,Exchange Place,40.7162469,-74.0334588,Washington St,40.7242941,-74.0354826,Customer,1969,0
5,737,2019-01-01 12:56:53.2040,2019-01-01 13:09:11.0400,Exchange Place,40.7162469,-74.0334588,JC Medical Center,40.71653978099194,-74.0496379137039,Subscriber,1993,1
6,917,2019-01-01 13:03:44.7760,2019-01-01 13:19:02.7690,Exchange Place,40.7162469,-74.0334588,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,Subscriber,1986,1
7,3248,2019-01-01 13:12:03.1280,2019-01-01 14:06:12.0400,Exchange Place,40.7162469,-74.0334588,Riverview Park,40.7443187,-74.04399090000001,Subscriber,1992,1
8,3168,2019-01-01 13:13:12.0450,2019-01-01 14:06:00.4110,Exchange Place,40.7162469,-74.0334588,Riverview Park,40.7443187,-74.04399090000001,Customer,1969,0
9,353,2019-01-01 17:07:44.6670,2019-01-01 17:13:38.2640,Exchange Place,40.7162469,-74.0334588,Newport PATH,40.7272235,-74.03375890000001,Subscriber,1994,1
10,503,2019-01-01 17:34:50.9580,2019-01-01 17:43:14.3190,Exchange Place,40.7162469,-74.0334588,Newport PATH,40.7272235,-74.03375890000001,Customer,1992,1
11,285,2019-01-01 18:06:03.1680,2019-01-01 18:10:48.5380,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1990,1
12,229,2019-01-01 20:05:04.5760,2019-01-01 20:08:53.8630,Exchange Place,40.7162469,-74.0334588,Washington St,40.7242941,-74.0354826,Subscriber,1996,1
13,211,2019-01-01 21:04:58.8810,2019-01-01 21:08:30.5600,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.712774200000005,-74.03648570000001,Subscriber,1993,1
14,111,2019-01-01 21:52:09.2980,2019-01-01 21:54:00.4550,Exchange Place,40.7162469,-74.0334588,Exchange Place,40.7162469,-74.0334588,Subscriber,1987,1
